id,prompt_id,issue,party
lubakzt,1,COL,ALP
lubfjis,2,COL,
lubidsm,3,COL,
lubj5fd,4,COL,
lubajlk,5,COL,
lublfgl,6,COL,
lubjl2x,7,,
lubb6wt,8,COL,
luc5jz3,9,COL,
lubdhjn,10,COL,
lubcb6k,11,COL,
lubbzmf,12,COL,
lubh9uo,13,COL,
lubds9f,14,,
luc5r3d,15,COL,
lubhy63,16,COL,
lubc426,17,COL,
luc5yn0,18,COL,
luba8l5,19,EI,
lubukiw,20,EI,
lubyimt,21,EI,
luecizh,22,EI,
luecbbc,23,,
luefj47,24,EI,
lub2tx5,25,EI,
luf6z4k,26,EI,
luff34k,27,EI,
luevqcz,28,EI,
lubag3x,29,EI,
luc4vci,30,EI,
lub474j,31,EI,
lub40s8,32,EI,
luc6rdw,33,,
luc5scm,34,,
lub56ya,35,EI,
lub4kw1,36,EI,
luekx27,37,,
lubg96r,38,EI,
lubok0n,39,EI,
lub52ki,40,EI,
luentwn,41,,
lub5h3m,42,EI,
luaxr7z,43,,
luazis3,44,YC,LNP
luaymoi,45,YC,LNP
lubaua5,46,YC,
lub61v9,47,,LNP
luba6l4,48,H,LNP
lub8k8p,49,YC,
lub57il,50,,LNP
lubcbnv,51,YC,
lub0mwg,52,YC,
lub6abd,53,YC,
lubk700,54,YC,
lubgfey,55,YC,
luaw1od,56,,
lub4l9i,57,,
lufb7vt,58,,LNP
lubeqpo,59,YC,
lub917b,60,,
lub6zmz,61,YC,
lubndp0,62,YC,
lubvspa,63,YC,
lub04db,64,YC,
lucm1m8,65,,
lub4afn,66,AL,LNP
lubkyqh,67,YC,LNP
lub4l5d,68,YC,LNP
lubfdg0,69,YC,
lub4m6k,70,YC,
lubo12e,71,YC,
lubmmkn,72,YC,LNP
lub8uuf,73,YC,
lubroac,74,YC,
lub4rc1,75,YC,LNP
lubnqhq,76,AL,LNP
lubnojf,77,YC,
lubkdxt,78,YC,LNP
lub70ge,79,YC,
lubqczi,80,YC,
lub06q7,81,YC,
lub1s1f,82,YC,
lubd9y4,83,YC,LNP
lub8swf,84,YC,
luba5rf,85,YC,
lub5gux,86,YC,
lub8mxz,87,YC,
lubnc7j,88,YC,
lubps76,89,YC,
lubwolk,90,,
lubw8x2,91,,LNP
lufdp20,92,YC,LNP
lubc8mp,93,YC,
lubck4z,94,YC,LNP
lubrd92,95,YC,
lubcdl2,96,,
lubqgsu,97,,
lub0kcl,98,AL,LNP
lub20qr,99,YC,
lub2aqm,100,YC,
lubhrgh,101,YC,LNP
lubvcnu,102,YC,LNP
lub5lcp,103,YC,
lubdu62,104,YC,
luerhdo,105,YC,
lub1eq3,106,YC,
lubbwmf,107,AL,LNP
lub2i62,108,,
lub2qm4,109,YC,
lub2ghd,110,YC,
lucr8d2,111,YC,
luc2hbn,112,YC,LNP
lub9cz8,113,YC,
lub5wja,114,YC,
lubh9ff,115,YC,
lubbtjl,116,YC,
ludotsm,117,YC,
lufe828,1,,ALP
lubbfx2,2,,
lub6ghx,3,,
lub4ag2,4,,
lub2wqc,5,,
lubka3k,6,,
lubnh08,7,,
lub6ip6,8,,LNP
lub4xqb,9,,
lub4m1e,10,,
lub6b3c,11,,
lubalfc,12,,
lubo6uf,13,,
lub6yfj,14,,
lub69fr,15,,
lub7hf0,16,,
lub7npr,17,,
lub78x2,18,,
lub752a,19,,
lub7pr7,20,,
lub7zwy,21,,
lub85r8,22,,
lu9yobi,23,EI,
luazou9,24,EI,
lua2ftk,25,,
lubauwk,26,EI,
lubekue,27,EI,
luakhfm,28,EI,
lu9g5zw,29,,
luag5qo,30,EI,
lube4hi,31,EI,
luao8jg,32,EI,
lufe74f,33,EI,
luchygo,34,EI,
lueq40a,35,EI,
lufehya,36,EI,
lubmbf9,37,EI,
luacf5m,38,EI,
lubl4zt,39,EI,
luacjv0,40,EI,
luarq3g,41,EI,
lubbxw6,42,EI,
lud8qen,43,EI,
lubbqn5,44,EI,
ludgf4k,45,EI,
lubupfg,46,EI,
luaeldi,47,EI,
lubmd68,48,EI,
ludplc9,49,EI,
luc51b3,50,EI,
lueryix,51,EI,
lubzb2t,52,,
lueil25,53,EI,
lu9aii9,54,COL,
lu9o1ih,55,COL,
lu9meap,56,COL,
lu99d5m,57,COL,
lu98qlg,58,COL,
lu9gwdv,59,COL,
lu9ztkz,60,COL,
lubn0es,61,COL,
lu98zto,62,,
lubpji5,63,COL,
lu9h4fh,64,COL,
lu9h95i,65,COL,
lubp7k3,66,COL,
luboy66,67,COL,
lu9cmpf,68,COL,
lubtprx,69,COL,
lubtyz3,70,COL,
lucgzqc,71,COL,
lubua1a,72,COL,
lueriqi,73,COL,
lu99tln,74,COL,
lu9pds8,75,COL,
lu9973u,76,COL,
lu9gzqg,77,COL,
lu9kc5b,78,COL,
lu9h8es,79,COL,
lu9h41n,80,COL,
lu9h6w7,81,COL,
lu9ebhu,82,COL,
lua44nc,83,COL,
lu9ncgs,84,COL,LNP
lu9hrxc,85,COL,
lu9vdf9,86,COL,
luatx8g,87,COL,
lubq065,88,COL,
lu9kszk,89,COL,
lu9hsg8,90,COL,
luauat3,91,COL,
lub4zvm,92,COL,
lu9mbs4,93,COL,LNP
lu9hyec,94,COL,
luaribh,95,COL,
luam91g,96,COL,
lu9oe40,97,COL,
luaezfp,98,COL,
lua8m0p,99,COL,
lue3bfx,100,COL,
lua9qd1,101,COL,
lu9fmet,102,COL,
lua8en1,103,COL,
lubq3vu,104,COL,
luds2jr,105,COL,
luey0sh,106,COL,
lu9ngpg,107,COL,LNP
lu9mkdn,108,COL,
lua9ivh,109,COL,
lubvum7,110,COL,
luedbye,111,COL,
lu9keoc,112,,
luarx3j,1,,
lubah0e,2,,
lu9a688,3,,
lu9ddtb,4,COL,
lu9p9iq,5,COL,
lu9ajd7,6,COL,
lu9mkiy,7,COL,
luaj1q0,8,COL,
lua98ke,9,COL,
lua0yrv,10,COL,
lua3cyl,11,COL,
luasn1h,12,COL,
luajwir,13,COL,
lu9v6ef,14,COL,
lucrv7a,15,COL,
lud8r6v,16,COL,
luaghl5,17,COL,
luan4zg,18,COL,
lubkjrp,19,COL,
lu9v23x,20,COL,
lu9wr1s,21,COL,
luaccwa,22,COL,
luayc98,23,COL,
lub7otk,24,COL,
